state,fiscal_year,funds_awarded,ccdf_discretionary,ssbg_block_grant,adjusted_award,carryover,basic_assistance,basic_assistance_no_subsidies,basic_assistance_subsidies,other_assistance,other_assistance_foster,other_assistance_juvenile_justice,other_assistance_emergency,non_assistance,non_assistance_welfare_foster,non_assistance_juvenile_justice,non_assistance_emergency,work_ed,work_ed_subsidized_emp,work_ed_training,work_ed_other,work_supports,early_ed,early_ed_childcare,early_ed_prek,financial_ed,eitc_refundable,non_eitc_refundable,short_term_benefits,support__services,children_youth_services,pregnancy_prevention,fatherhood_programs,child_welfare,child_welfare_family,child_welfare_adoption,child_welfare_other,home_visiting,program_mgmt,program_mgmt_admin,program_mgmt_assessment,program_mgmt_systems,other,total_expenditures,fed_unliquidated,unobligated_balance
SOUTH CAROLINA,2022.00,111507587.00,0.00,0.00,99637930.00,8378505.00,30720530.00,21032445.00,9688085.00,0.00,0.00,0.00,0.00,176776.00,176776.00,0.00,0.00,20706834.00,0.00,20299126.00,407708.00,851303.00,31175339.00,4085269.00,27090070.00,0.00,0.00,0.00,0.00,2672701.00,0.00,0.00,2447295.00,6953312.00,1382668.00,79.00,5570565.00,0.00,65469411.00,16379656.00,47571259.00,1518496.00,1835878.00,163009379.00,0.00,10062450.00
SOUTH DAKOTA,2022.00,21207402.00,0.00,2120740.00,19086662.00,23311045.00,12273463.00,12273463.00,0.00,7175799.00,4201821.00,0.00,2973978.00,0.00,0.00,0.00,0.00,3090709.00,0.00,0.00,3090709.00,56308.00,802914.00,802914.00,0.00,0.00,0.00,0.00,0.00,240798.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,722990.00,2034769.00,2034769.00,0.00,0.00,0.00,26397750.00,0.00,24539957.00
TENNESSEE,2022.00,190891768.00,0.00,0.00,190891768.00,798337364.50,68437014.16,68437014.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32225928.13,0.00,3260338.70,28965589.43,2176988.01,86102366.78,1689015.04,84413351.74,0.00,0.00,0.00,0.00,0.00,17500349.49,1866452.75,34890.26,32216830.20,32216830.20,0.00,0.00,1228060.48,28485695.78,28463121.76,0.00,22574.02,0.00,270274576.00,0.00,808194074.00
TEXAS,2022.00,542387696.00,0.00,45117680.00,439534425.00,364200685.50,19427970.00,19427970.00,0.00,102571921.90,102571921.90,0.00,0.00,314186204.10,314186204.10,0.00,0.00,74813673.19,1220515.68,9263092.77,64330064.74,1355784.34,343639724.00,0.00,343639724.00,0.00,0.00,0.00,24183785.50,26081761.98,12574124.91,3846202.49,0.00,0.00,0.00,0.00,0.00,13345999.61,59938162.29,46854609.68,0.00,13083552.62,0.00,995965314.30,0.00,237402433.20
UTAH,2022.00,75355939.00,15071188.00,7535000.00,52749751.00,76593708.00,13711110.00,13711110.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14541226.00,48704.00,1022633.00,13469889.00,0.00,13320646.00,7114010.00,6206636.00,1670828.00,0.00,0.00,1767188.00,2607550.00,2898358.00,2377570.00,681930.00,2108803.00,2108803.00,0.00,0.00,0.00,7456761.00,6150294.00,300520.00,1005947.00,0.00,63141970.00,0.00,91089195.00
VERMONT,2022.00,47196916.00,9224076.00,4719692.00,33253148.00,0.00,13294691.94,13294691.94,0.00,0.00,0.00,0.00,0.00,8521689.85,8521689.85,0.00,0.00,220812.44,0.00,14040.36,206772.08,809225.53,26113393.65,26113393.65,0.00,0.00,14578313.66,0.00,1591982.36,65931.70,2478740.98,125000.00,0.00,0.00,0.00,0.00,0.00,0.00,10039293.91,4844831.68,3904978.13,1289484.12,0.00,77839076.04,0.00,0.00
VIRGINIA,2022.00,157762831.00,18016245.00,15776283.00,123970303.00,112371054.00,98173076.00,98173076.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33377950.00,97795.00,615116.00,32665039.00,4322219.00,29569267.00,21878447.00,7690820.00,35043.00,185725.00,0.00,6435471.00,5314707.00,2217392.00,0.00,0.00,61801726.00,53477134.00,0.00,8324592.00,940719.00,49716587.00,46615141.00,0.00,3101446.00,17361750.00,309451632.00,6339567.00,56178038.00
WASHINGTON,2022.00,424135717.00,108021310.60,5675000.00,265291391.40,141681659.50,211250548.80,211250548.80,0.00,0.00,0.00,0.00,0.00,2350699.00,0.00,0.00,2350699.00,131470656.50,10493983.45,70610447.63,50366225.47,0.00,182261823.60,116229472.60,66032351.00,0.00,0.00,0.00,28410101.65,2469567.50,293222333.90,0.00,0.00,8025000.00,0.00,0.00,8025000.00,16818758.00,65067921.64,48230811.70,0.00,16837109.94,97270261.73,1038617672.00,0.00,59997508.60
WEST VIRGINIA,2022.00,109812728.00,0.00,10981271.00,98831457.00,110193051.00,45725584.23,45725584.23,0.00,21530870.48,21306486.93,0.00,224383.55,0.00,0.00,0.00,0.00,342648.00,0.00,0.00,342648.00,10911289.01,21096392.00,21096392.00,0.00,0.00,0.00,0.00,1653409.71,4137864.92,15.00,0.00,0.00,7967475.17,2931090.73,0.00,5036384.44,0.00,12919892.18,8839365.15,0.00,4080527.03,0.00,126285440.70,0.00,117185511.30
WISCONSIN,2022.00,312845980.00,62569196.00,14653500.00,235623284.00,213669499.00,69839983.00,69839983.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35191918.00,2779346.00,5881694.00,26530878.00,1519506.00,103881311.00,103881311.00,0.00,0.00,53850000.00,0.00,25016031.00,13592517.00,85385951.00,1458956.00,1659082.00,10878702.00,10878702.00,0.00,0.00,6503342.00,35063021.00,27919421.00,2185309.00,4958291.00,79076.00,443919396.00,0.00,268821842.00
WYOMING,2022.00,18428651.00,0.00,0.00,18428651.00,25429612.00,13235425.00,3833564.00,9401861.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3971863.00,0.00,3971863.00,0.00,0.00,3087641.00,1553707.00,1533934.00,0.00,0.00,0.00,2948635.00,1033322.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,565129.00,2554774.00,2084267.00,218717.00,251790.00,0.00,27396789.00,0.00,26124215.00
U.S. TOTAL,2021.00,16834272608.00,1158361971.00,1125690800.00,13942219836.00,6327868875.00,6856769826.00,6317587767.00,539182059.00,746106673.00,468957771.00,13693946.00,263454956.00,440796625.00,353251604.00,19319237.00,68225784.00,2314737535.00,122731302.00,799213066.90,1392793166.00,329469751.10,6679771029.00,3750451848.00,2929319181.00,2717494.00,2038481720.00,543790715.00,940661884.30,397873765.20,924975632.50,212911999.50,118017254.20,1898504063.00,899211623.60,32110482.00,967181957.00,159887697.60,3188896214.00,1898254901.00,1039314394.00,251326919.40,243537963.90,28037907842.00,1854617776.00,6156520318.00
ALABAMA,2021.00,104087028.00,18601451.00,9300724.00,65105092.00,101384652.00,14408114.00,14408114.00,0.00,7592443.00,0.00,0.00,7592443.00,0.00,0.00,0.00,0.00,6519525.00,4124413.00,228201.00,2166911.00,2187742.00,34832092.00,3504696.00,31327396.00,0.00,0.00,0.00,33267380.00,637122.00,2175836.00,506198.00,3834996.00,44141727.00,45.00,0.00,44141682.00,1799144.00,25198331.00,9882424.00,14243533.00,1072374.00,0.00,177100650.00,10000000.00,103337619.00
ALASKA,2021.00,44397466.00,8879493.00,4439746.00,31078227.00,21771023.36,38741993.00,38741993.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10890194.74,1071172.24,113284.20,9705738.30,84581.86,3267421.00,3267421.00,0.00,0.00,0.00,0.00,317557.24,89484.28,6647843.06,335059.17,0.00,0.00,0.00,0.00,0.00,0.00,6523789.45,6518066.75,0.00,5722.70,114235.00,67012158.80,22434168.00,0.56
ARIZONA,2021.00,223162288.00,0.00,19940731.00,179466582.00,38788584.00,38245379.00,16981140.00,21264239.00,10723424.00,10723424.00,0.00,0.00,0.00,0.00,0.00,0.00,545306.00,0.00,202056.00,343250.00,8804954.00,0.00,0.00,0.00,0.00,0.00,0.00,7032622.00,5931368.00,0.00,0.00,0.00,217153552.00,94696990.00,20132306.00,102324256.00,0.00,29671226.00,12446122.00,13227425.00,3997679.00,0.00,318107831.00,0.00,52909932.00
ARKANSAS,2021.00,63281802.00,0.00,0.00,56545640.00,104072121.00,3553686.00,3553686.00,0.00,0.00,0.00,0.00,0.00,2329411.00,0.00,0.00,2329411.00,11027588.00,258039.00,2833581.00,7935968.00,267041.00,35247730.00,5250000.00,29997730.00,9772.00,0.00,0.00,2047112.00,0.00,1941639.00,2270334.00,11187406.00,3710679.00,3710679.00,0.00,0.00,0.00,14552842.00,9627321.00,1445893.00,3479628.00,0.00,88145240.00,30757234.00,81926947.00
CALIFORNIA,2021.00,3634315731.00,0.00,354433444.00,3279882287.00,100860421.00,2279025029.00,2133403813.00,145621216.00,243173496.00,0.00,0.00,243173496.00,0.00,0.00,0.00,0.00,894773169.00,14518128.00,290919657.00,589335384.00,146284396.00,989426449.00,989278706.00,147743.00,0.00,0.00,0.00,142829552.00,130122737.00,617223.00,20851497.00,2094281.00,2366.00,2366.00,0.00,0.00,46545493.00,851797910.00,521044822.00,247404301.00,83348787.00,12563.00,5747556161.00,544052693.00,0.00
COLORADO,2021.00,151762363.00,1048580.50,966811.04,133592311.50,87485550.00,57199298.00,57199298.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6050232.00,509710.00,2728988.00,2811534.00,9245928.00,98806159.00,12897303.00,85908856.00,71761.00,71758780.00,7770985.00,3831516.00,3256536.00,827896.00,481293.00,560748.00,58450483.00,34635448.00,21214.00,23793821.00,10110666.00,93890706.00,31063679.00,36218001.00,26609026.00,0.00,422312987.00,0.00,100115820.00
CONNECTICUT,2021.00,265907706.00,26678810.00,0.00,239228896.00,0.00,26847170.00,26847170.00,0.00,0.00,0.00,0.00,0.00,14533630.00,0.00,0.00,14533630.00,10178625.00,0.00,10178625.00,0.00,0.00,96705069.00,28112471.00,68592598.00,0.00,52700088.00,0.00,0.00,18880365.00,0.00,39270653.00,15461739.00,72972764.00,72972764.00,0.00,0.00,0.00,101680413.00,32633591.00,64236240.00,4810582.00,0.00,449230516.00,0.00,0.00
DELAWARE,2021.00,36018484.00,0.00,0.00,32184421.00,41026832.00,5635558.00,5635558.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13125687.00,8842755.00,3419832.00,863100.00,0.00,30228247.00,30228247.00,0.00,0.00,0.00,0.00,1313959.00,460020.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,47254576.00,2763042.00,44173630.00,317904.00,0.00,98018047.00,3038179.00,41844427.00
DIST.OF COLUMBIA,2021.00,103300207.00,0.00,3922929.00,88381274.00,15236345.00,200126164.00,200126164.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32942671.90,0.00,630400.37,32312271.53,0.00,53055663.62,53055663.62,0.00,0.00,21476242.00,0.00,96951322.00,899784.00,0.00,282049.36,0.00,0.00,0.00,0.00,0.00,0.00,19603119.36,12873104.16,5846694.65,883320.55,0.00,425337016.20,0.00,15150663.76
FLORIDA,2021.00,560484398.00,82996517.00,42293077.00,435194804.00,50849183.00,168261255.00,92801344.00,75459911.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,42024408.00,4252755.00,2748157.00,35023496.00,5086823.00,223442109.00,223442109.00,0.00,0.00,0.00,0.00,2037870.00,17786728.00,0.00,645406.00,0.00,258744144.00,41647175.00,282280.00,216814689.00,0.00,52454938.00,47865918.00,0.00,4589020.00,0.00,770483681.00,0.00,100688517.00
GEORGIA,2021.00,329650291.00,0.00,1012170.00,328638121.00,106854598.00,94949748.00,38841283.00,56108465.00,22791436.00,22791436.00,0.00,0.00,0.00,0.00,0.00,0.00,6617923.00,6565158.00,0.00,52765.00,23136.00,0.00,0.00,0.00,0.00,0.00,0.00,4677673.00,8433116.00,34575120.00,8049679.00,0.00,242545320.00,224006660.00,11335661.00,7202999.00,0.00,27549612.00,14859859.00,9327022.00,3362731.00,0.00,450212763.00,39196436.00,119452047.00
HAWAII,2021.00,98578402.00,0.00,9857840.00,88720562.00,379603850.00,49214568.00,49214568.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36509919.00,313123.00,29141971.00,7054825.00,1182871.00,7406056.00,7406056.00,0.00,435827.00,0.00,0.00,11720288.00,23726281.00,3686427.00,8055445.00,762000.00,7032275.00,6882890.00,0.00,149385.00,4259244.00,27300884.00,16025338.00,7325452.00,3950094.00,17139174.00,198431259.00,26939299.00,378497946.00
IDAHO,2021.00,30307166.00,7804095.00,0.00,22503071.00,8268887.00,6909768.00,6909768.00,0.00,0.00,0.00,0.00,0.00,11650503.00,0.00,0.00,11650503.00,2506336.00,117545.00,25125.00,2363666.00,516.00,2652959.00,1175819.00,1477140.00,0.00,0.00,0.00,2183869.00,0.00,0.00,333780.00,0.00,1727115.00,1727115.00,0.00,0.00,0.00,5069440.00,3913234.00,0.00,1156206.00,0.00,33034286.00,0.00,10763051.00
ILLINOIS,2021.00,583126272.00,0.00,600000.00,582526272.00,0.00,45136551.00,45136551.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17841860.00,0.00,13166927.00,4674933.00,372976.00,648482688.00,535329400.00,113153288.00,460000.00,103349474.00,0.00,919342.00,5138306.00,11354095.00,112693.00,0.00,229756031.00,0.00,0.00,229756031.00,0.00,85989017.00,0.00,85989017.00,0.00,0.00,1148913033.00,0.00,0.00
INDIANA,2021.00,206116672.00,61835002.00,0.00,144281670.00,32053087.00,19941170.00,19941170.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1493868.00,0.00,922211.00,571657.00,3576946.00,30030107.00,30030107.00,0.00,0.00,19082253.00,0.00,346140.00,0.00,22070766.00,3849275.00,18499113.00,2160621.00,2160621.00,0.00,0.00,22409525.00,22685188.00,13610034.00,0.00,9075154.00,59640318.00,225785290.00,10799173.00,54337942.00
IOWA,2021.00,130558068.00,26205412.00,12962008.00,91390648.00,11008335.00,27114795.00,27114795.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5735680.00,0.00,0.00,5735680.00,169158.00,19216395.00,19216395.00,0.00,0.00,22485774.00,0.00,183350.00,0.00,0.00,1447063.00,10417.00,54291792.00,38962795.00,0.00,15328997.00,0.00,12830267.00,5045689.00,5831506.00,1953072.00,0.00,143484691.00,0.00,27199174.00
KANSAS,2021.00,101477697.00,0.00,10147767.00,91329930.00,60632916.00,9940821.00,9940821.00,0.00,30724919.00,30724919.00,0.00,0.00,1045714.00,1045714.00,0.00,0.00,812652.00,0.00,400886.00,411766.00,1679400.00,22670010.00,6673024.00,15996986.00,0.00,38293781.00,0.00,0.00,3856030.00,15147881.00,0.00,2035773.00,3569231.00,3569231.00,0.00,0.00,6305191.00,15305777.00,8141181.00,4945888.00,2218708.00,0.00,151387180.00,3870472.00,58383680.00
KENTUCKY,2021.00,180689420.00,0.00,0.00,180689420.00,38809971.00,164291773.00,27196222.00,137095551.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21020683.00,7310031.00,109947.00,13600705.00,0.00,19299030.00,19299030.00,0.00,0.00,0.00,0.00,0.00,3001530.00,0.00,0.00,381433.00,0.00,0.00,0.00,0.00,0.00,12521950.00,10276192.00,0.00,2245758.00,0.00,220516399.00,0.00,71791417.00
LOUISIANA,2021.00,163430877.00,0.00,16343087.00,147087790.00,65374564.00,12362209.00,12362209.00,0.00,0.00,0.00,0.00,0.00,8407830.00,0.00,0.00,8407830.00,47758896.00,0.00,47758896.00,0.00,349557.00,56042571.00,0.00,56042571.00,0.00,17420801.00,0.00,0.00,7620102.00,810000.00,0.00,1041833.00,33289937.00,700479.00,0.00,32589458.00,2589369.00,19240067.00,15721976.00,1438069.00,2080022.00,0.00,206933172.00,0.00,71545801.00
MAINE,2021.00,77863090.00,15572618.00,7786309.00,54504163.00,115375030.00,39638298.00,39638298.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14097594.00,0.00,1403357.00,12694237.00,1853447.00,6430669.00,5897707.00,532962.00,118900.00,15435667.00,385606.00,6064324.00,2576605.00,11033245.00,0.00,0.00,10879964.00,6585234.00,0.00,4294730.00,601388.00,6241963.00,3858793.00,2301628.00,81542.00,0.00,115357670.00,35680926.00,56364540.00
MARYLAND,2021.00,255543913.00,0.00,22834201.00,205507807.00,50758.00,170393515.00,146687688.00,23705827.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27898277.00,7437712.00,2602560.00,17858005.00,2811284.00,63462760.00,5441595.00,58021165.00,0.00,202028890.00,0.00,37056390.00,0.00,0.00,0.00,677332.00,30070039.00,26977993.00,0.00,3092046.00,1104880.00,44351429.00,21585822.00,20800984.00,1964623.00,0.00,579854796.00,0.00,15826856.00
MASSACHUSETTS,2021.00,512398524.00,91570224.00,45785519.00,320499448.00,0.00,213479914.00,213479914.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,166426627.00,0.00,157356121.00,9070506.00,3257240.00,242806269.00,242806269.00,0.00,0.00,174412699.00,0.00,91806952.00,20992068.00,0.00,8720696.00,0.00,11374195.00,11374195.00,0.00,0.00,0.00,32466025.00,32466025.00,0.00,0.00,0.00,965742685.00,0.00,0.00
MICHIGAN,2021.00,772794194.00,6893736.00,77279419.00,688621039.00,94231079.00,103218568.00,46595401.00,56623167.00,12439595.00,12439595.00,0.00,0.00,150298.00,0.00,0.00,150298.00,3313821.00,675305.00,2638516.00,0.00,59858396.00,177078841.00,19529091.00,157549750.00,0.00,30913902.00,0.00,21292523.00,67828.00,329337235.00,0.00,0.00,61477910.00,61477910.00,0.00,0.00,0.00,361038440.00,51246991.00,305582637.00,4208812.00,0.00,1160187357.00,0.00,115980984.00
MINNESOTA,2021.00,259569108.00,60487000.00,4790000.00,194292108.00,103991022.00,123947806.00,123947806.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,58388280.00,0.00,675124.00,57713156.00,1656384.00,69448813.00,63748813.00,5700000.00,0.00,104773123.00,5203989.00,14044698.00,0.00,0.00,1314985.00,0.00,0.00,0.00,0.00,0.00,14217111.00,45378556.00,44991665.00,0.00,386891.00,3268609.00,441642354.00,0.00,141294875.00
MISSISSIPPI,2021.00,86481245.00,0.00,0.00,86481245.00,47036905.00,3530536.00,3530536.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19532108.00,0.00,15449187.00,4082921.00,553971.00,1715340.00,1715340.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10015528.00,15209877.00,0.00,0.00,15209877.00,0.00,6778832.00,5469396.00,0.00,1309436.00,0.00,57336192.00,0.00,97906266.00
MISSOURI,2021.00,216335469.00,0.00,21633547.00,194701922.00,0.00,20802628.00,20802628.00,0.00,0.00,0.00,0.00,0.00,120352279.00,120352279.00,0.00,0.00,70706088.00,117500.00,51554111.00,19034477.00,1104875.00,23305751.00,23305751.00,0.00,0.00,0.00,0.00,83549148.00,6775335.00,0.00,4199115.00,14221261.00,0.00,0.00,0.00,0.00,0.00,6621233.00,6269053.00,0.00,352180.00,0.00,351637713.00,0.00,0.00
MONTANA,2021.00,37888854.00,5000000.00,1976440.00,30912414.00,27344441.00,12655861.00,12655861.00,0.00,774728.00,0.00,0.00,774728.00,1813414.00,1813414.00,0.00,0.00,2601059.00,362555.00,284633.00,1953871.00,228495.00,1773887.00,1773887.00,0.00,63688.00,0.00,0.00,259059.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11094043.00,4894758.00,5540394.00,658891.00,0.00,31264234.00,0.00,41650619.00
NEBRASKA,2021.00,56627234.00,658294.00,428383.00,55540557.00,101840685.10,20947682.06,20947682.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9794957.95,0.00,263781.93,9531176.02,0.00,6498998.00,6498998.00,0.00,0.00,26771871.22,2350584.03,167465.50,0.00,363629.40,0.00,361289.15,6350929.11,6338066.12,0.00,12862.99,1506606.00,3100150.04,2815419.66,0.00,284730.38,0.00,78214162.46,65682492.93,55540557.00
NEVADA,2021.00,43762394.00,0.00,0.00,43762394.00,33445305.00,36031245.00,36031245.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,522745.00,176250.00,13216.00,333279.00,1327630.00,10087427.00,10087427.00,0.00,6762.00,0.00,0.00,7920290.00,5724599.00,1399718.00,167494.00,0.00,30990229.00,4493887.00,0.00,26496342.00,0.00,21244158.00,4676000.00,12700656.00,3867502.00,0.00,115422297.00,646003.00,38838637.00
NEW HAMPSHIRE,2021.00,38394141.00,0.00,660764.38,37733376.62,45127218.00,29215355.00,27426795.00,1788560.00,4381813.00,3257465.00,1058919.00,65429.00,0.00,0.00,0.00,0.00,5729793.00,0.00,96995.00,5632798.00,271860.00,4581872.00,4581872.00,0.00,0.00,0.00,0.00,1731062.00,150000.00,0.00,3390303.00,4466488.00,0.00,0.00,0.00,0.00,1892727.00,9622567.00,7348848.00,0.00,2273719.00,2935730.00,68369570.00,0.00,52563543.62
NEW JERSEY,2021.00,402701508.00,79000000.00,9377000.00,314324508.00,56942388.40,81789114.78,80881256.78,907858.00,6840000.00,0.00,0.00,6840000.00,0.00,0.00,0.00,0.00,60558893.12,0.00,11922313.00,48636580.12,4231651.00,678297224.20,69714361.00,608582863.20,10533.00,396586550.00,0.00,9099077.15,10180797.48,38683507.00,1862627.00,4968390.00,0.00,0.00,0.00,0.00,0.00,53954738.52,51007402.32,0.00,2947336.20,0.00,1347063103.00,141401841.40,0.00
NEW MEXICO,2021.00,123014365.00,31145625.00,0.00,78774222.00,58609617.00,50212332.00,50212332.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13938049.43,3034663.47,1519128.87,9384257.09,153074.21,66735722.75,11722796.00,55012926.75,0.00,0.00,135270344.00,8956971.00,7047964.00,3961639.00,564982.00,200000.00,723958.50,723958.50,0.00,0.00,4518242.64,5925508.97,4520460.82,0.00,1405048.15,0.00,298208788.50,48103441.50,7139146.00
NEW YORK,2021.00,2724929779.00,273696000.00,204001398.00,1957171533.00,886556368.00,1633423662.00,1633423662.00,0.00,112739255.00,100104228.00,12635027.00,0.00,34885760.00,10087784.00,3582153.00,21215823.00,140863146.00,39291834.00,6479730.00,95091582.00,745661.00,920697104.00,101983998.00,818713106.00,39935.00,637410017.00,389308341.00,173452019.00,39616818.00,10359621.00,0.00,236853.00,250829359.00,151757183.00,0.00,99072176.00,931511.00,480559348.00,429707381.00,42063694.00,8788273.00,0.00,4826098410.00,39745042.00,1216600088.00
NORTH CAROLINA,2021.00,336228135.00,21773001.00,24897882.00,253766744.00,55334820.00,30907971.00,30907971.00,0.00,0.00,0.00,0.00,0.00,79483147.00,79483147.00,0.00,0.00,4609682.00,769.00,1580333.00,3028580.00,528851.00,272840244.00,196127683.00,76712561.00,0.00,0.00,0.00,3840901.00,213148.00,3558181.00,0.00,79496.00,70744057.00,8879149.00,339014.00,61525894.00,0.00,64497410.00,44674390.00,18555424.00,1267596.00,0.00,531303088.00,44145919.00,46118.00
NORTH DAKOTA,2021.00,26312690.00,0.00,0.00,26312690.00,1499759.00,4552535.00,4005223.00,547312.00,9956035.00,9956035.00,0.00,0.00,1376392.00,1376392.00,0.00,0.00,3574586.00,0.00,3270.00,3571316.00,1488147.00,0.00,0.00,0.00,0.00,0.00,0.00,21930.00,0.00,0.00,240655.00,0.00,4119857.00,4119857.00,0.00,0.00,0.00,5368832.00,3655733.00,89963.00,1623136.00,0.00,30698969.00,0.00,6182766.00
OHIO,2021.00,725565965.00,0.00,72556596.00,653009369.00,592991715.00,219053730.00,219053730.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,84445703.00,10668416.00,22156347.00,51620940.00,48003708.00,420745150.00,420171344.00,573806.00,0.00,0.00,0.00,67748994.00,17413971.00,7092813.00,57338197.00,10119337.00,18437916.00,5082628.00,0.00,13355288.00,0.00,130232314.00,85983509.00,28006027.00,16242778.00,0.00,1080631833.00,608572168.00,10393080.00
OKLAHOMA,2021.00,138007998.00,27601599.00,13800800.00,96605599.00,264061336.00,21070390.00,20039544.00,1030846.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14979194.00,0.00,14979194.00,0.00,227426.00,15738516.00,15738516.00,0.00,0.00,0.00,0.00,514299.00,415864.00,1473316.00,0.00,9323052.00,8786537.00,8430537.00,0.00,356000.00,0.00,11585977.00,6876310.00,3520744.00,1188923.00,179978.00,84294549.00,0.00,333671323.00
OREGON,2021.00,165835476.00,0.00,0.00,165835476.00,45202633.00,67058416.00,67058416.00,0.00,4362329.00,3913765.00,0.00,448564.00,0.00,0.00,0.00,0.00,18779999.00,1489807.00,1972871.00,15317321.00,2411860.00,34568089.00,20439156.00,14128933.00,0.00,0.00,3380632.00,10224343.00,9788361.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22458889.00,12085707.00,10373182.00,0.00,0.00,173032918.00,0.00,135508031.00
PENNSYLVANIA,2021.00,717124957.00,149612500.00,30977000.00,536535457.00,629616567.00,105678884.00,105678884.00,0.00,0.00,0.00,0.00,0.00,15978493.00,0.00,15737084.00,241409.00,101554995.00,0.00,1539708.00,100015287.00,559520.00,445686112.00,224169523.00,221516589.00,0.00,0.00,0.00,5242243.00,0.00,0.00,38277523.00,2496370.00,0.00,0.00,0.00,0.00,11875549.00,55402470.00,45557990.00,0.00,9844480.00,0.00,782752159.00,128096113.00,669259710.00
RHODE ISLAND,2021.00,94708016.00,0.00,7560018.00,87147998.00,24050483.00,15203248.00,15203248.00,0.00,0.00,0.00,0.00,0.00,9696880.00,0.00,0.00,9696880.00,9340483.00,0.00,0.00,9340483.00,924567.00,27589709.00,26399709.00,1190000.00,0.00,15963386.00,120234.00,0.00,15961466.00,0.00,0.00,0.00,19667868.00,0.00,0.00,19667868.00,0.00,10094746.00,6497105.00,3333323.00,264318.00,0.00,124562587.00,0.00,51700841.00
SOUTH CAROLINA,2021.00,111507587.00,0.00,0.00,99637930.00,0.00,29026526.00,19617826.00,9408700.00,0.00,0.00,0.00,0.00,140910.00,140910.00,0.00,0.00,7102102.00,0.00,7102102.00,0.00,672794.00,30061248.00,4085269.00,25975979.00,0.00,0.00,0.00,0.00,2580565.00,0.00,0.00,1986014.00,3761078.00,0.00,7.00,3761071.00,0.00,56845804.00,16833531.00,38240947.00,1771326.00,24161871.00,156338912.00,0.00,8378505.00
SOUTH DAKOTA,2021.00,21207402.00,0.00,2120740.00,19086662.00,22794891.00,11853910.00,11853910.00,0.00,8255942.00,4066604.00,0.00,4189338.00,0.00,0.00,0.00,0.00,3208092.00,0.00,0.00,3208092.00,23780.00,802914.00,802914.00,0.00,0.00,0.00,0.00,0.00,288034.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,674444.00,2003392.00,2003392.00,0.00,0.00,0.00,27110508.00,0.00,23311045.00
TENNESSEE,2021.00,190891768.00,0.00,0.00,190891768.00,789633873.00,110038634.00,110038634.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19987318.00,0.00,1449974.00,18537344.00,1540765.00,91064067.53,7621508.53,83442559.00,0.00,48770.00,0.00,0.00,79099.00,535256.00,617354.00,132302.00,14690056.00,14690056.00,0.00,0.00,472005.00,30477615.00,28456638.00,0.00,2020977.00,865992.00,270549233.50,0.00,798337364.50
