state,fiscal_year,funds_awarded,ccdf_discretionary,ssbg_block_grant,adjusted_award,carryover,basic_assistance,basic_assistance_no_subsidies,basic_assistance_subsidies,other_assistance,other_assistance_foster,other_assistance_juvenile_justice,other_assistance_emergency,non_assistance,non_assistance_welfare_foster,non_assistance_juvenile_justice,non_assistance_emergency,work_ed,work_ed_subsidized_emp,work_ed_training,work_ed_other,work_supports,early_ed,early_ed_childcare,early_ed_prek,financial_ed,eitc_refundable,non_eitc_refundable,short_term_benefits,support__services,children_youth_services,pregnancy_prevention,fatherhood_programs,child_welfare,child_welfare_family,child_welfare_adoption,child_welfare_other,home_visiting,program_mgmt,program_mgmt_admin,program_mgmt_assessment,program_mgmt_systems,other,total_expenditures,fed_unliquidated,unobligated_balance
GEORGIA,2022.00,329650291.00,0.00,1129965.00,328520326.00,158648483.00,85118800.00,28551778.00,56567022.00,29257388.00,29257388.00,0.00,0.00,0.00,0.00,0.00,0.00,5455548.00,5425325.00,15437.00,14786.00,52827.00,22182651.00,22182651.00,0.00,0.00,0.00,0.00,4079485.00,8266271.00,38978176.00,8006852.00,0.00,232565183.00,212720436.00,8959133.00,10885614.00,0.00,25783220.00,15885150.00,5602276.00,4295794.00,0.00,459746401.00,40812451.00,159978484.00
HAWAII,2022.00,98578402.00,19715680.00,9857840.00,69004882.00,405437245.00,33023311.00,33023311.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,44108444.00,164861.00,36070146.00,7873437.00,376760.00,9230102.00,9013710.00,216392.00,352943.00,0.00,0.00,9674508.00,23693505.00,4164975.00,9049792.00,491165.00,10879316.00,10794812.00,0.00,84504.00,3209066.00,21186361.00,9585419.00,7694962.00,3905980.00,0.00,169440248.00,19327468.00,402337994.00
IDAHO,2022.00,30307166.00,7804095.00,0.00,22503071.00,10763051.00,6333502.00,6333502.00,0.00,0.00,0.00,0.00,0.00,7024952.00,0.00,0.00,7024952.00,2736664.00,94884.00,58585.00,2583195.00,7093.00,2682683.00,1175819.00,1506864.00,0.00,0.00,0.00,2357973.00,0.00,0.00,329575.00,0.00,7045841.00,1463666.00,0.00,5582175.00,0.00,6872756.00,4418486.00,560718.00,1893552.00,0.00,35391039.00,0.00,10900462.00
ILLINOIS,2022.00,583126272.00,0.00,0.00,583126272.00,0.00,42949751.77,42949751.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19528344.18,0.00,13423171.64,6105172.54,2687967.00,669428630.30,551955064.20,117473566.10,460000.00,86517605.18,0.00,960811.00,4525886.49,14179515.77,3097093.86,0.00,240204417.20,0.00,0.00,240204417.20,0.00,102377889.90,0.00,102377889.90,0.00,0.00,1186917913.00,0.00,0.00
INDIANA,2022.00,206116672.00,61835001.60,0.00,144281670.40,65137115.00,13653798.64,13653798.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1420188.03,0.00,1412308.62,7879.41,1634468.19,22395770.11,22395770.11,0.00,0.00,42808137.00,0.00,0.00,0.00,14019080.85,2140182.81,15843733.12,1149976.10,1149976.10,0.00,0.00,19967978.05,21666614.34,18240697.35,0.00,3425916.99,50472606.00,207172533.20,16283412.43,113987750.50
IOWA,2022.00,130558068.00,26205412.00,12962008.00,91390648.00,27199174.00,24263073.33,24263073.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8535851.58,0.00,1525.58,8534326.00,312484.14,15316303.24,15316303.24,0.00,0.00,23960757.34,0.00,374473.49,0.00,0.00,1389388.78,12051.19,60191642.32,33162230.99,0.00,27029411.33,0.00,13028710.07,5167765.90,6422379.85,1438564.32,0.00,147384735.50,0.00,45530229.02
KANSAS,2022.00,101477697.00,0.00,10147768.00,91329929.00,62254152.00,10330819.10,10330819.10,0.00,29017168.06,29017168.06,0.00,0.00,306596.45,306596.45,0.00,0.00,762251.13,0.00,436966.59,325284.54,1504093.66,28356304.00,6673024.00,21683280.00,0.00,34996238.00,0.00,1000.00,4139981.95,14147442.31,0.00,2368190.97,3207589.97,3207589.97,0.00,0.00,6097884.73,14048714.84,8250295.76,4354754.20,1443664.88,0.00,149284275.20,3166705.54,64594144.00
KENTUCKY,2022.00,180689420.00,0.00,0.00,180689420.00,71791417.00,162612845.50,27374037.65,135238807.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19682094.62,6117394.37,120775.11,13443925.14,0.00,19664086.86,19664086.86,0.00,0.00,0.00,0.00,0.00,2699943.50,0.00,0.00,429029.92,0.00,0.00,0.00,0.00,0.00,13029705.37,11343113.34,0.00,1686592.03,0.00,218117705.80,0.00,107945898.10
LOUISIANA,2022.00,163430877.00,0.00,16343088.00,147087789.00,71545801.00,20772332.00,20772332.00,0.00,0.00,0.00,0.00,0.00,7658378.00,0.00,0.00,7658378.00,66355663.00,0.00,66355663.00,0.00,2062710.00,55872861.00,0.00,55872861.00,0.00,19414756.00,0.00,881251.00,5545056.00,808500.00,0.00,1231271.00,35102274.00,661653.00,0.00,34440621.00,2589369.00,21697164.00,17466573.00,2419722.00,1810869.00,0.00,239991585.00,63252435.00,0.00
MAINE,2022.00,77863090.00,0.00,7786309.00,70076781.00,102042772.50,37401817.39,37401817.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11325100.81,0.00,1062851.31,10262249.50,2059386.87,7341518.35,6797563.93,543954.42,0.00,22731405.05,1099730.00,16071764.67,3108107.47,12818968.94,0.00,0.00,13190500.36,5274963.25,0.00,7915537.11,0.00,7925226.92,4999513.01,2469022.66,456691.25,0.00,135073526.80,13181427.29,89115223.46
MARYLAND,2022.00,255543913.00,0.00,22834200.00,205507808.00,15826856.00,74446930.00,47619203.00,26827727.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27834571.00,7842151.00,2338096.00,17654324.00,3221901.00,80742680.00,5862133.00,74880547.00,0.00,284745585.00,0.00,52090973.00,0.00,0.00,0.00,1159847.00,48246879.00,40158859.00,0.00,8088020.00,1083604.00,41052638.00,15970826.00,21667548.00,3414264.00,0.00,614625608.00,0.00,54408842.00
MASSACHUSETTS,2022.00,512398524.00,91570224.00,45785519.00,320499448.00,0.00,296818405.00,296818405.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,151875880.00,0.00,143300540.00,8575340.00,8754408.00,267043565.00,267043565.00,0.00,0.00,164619422.00,0.00,66208520.00,23539524.00,0.00,9988534.00,0.00,10435930.00,10435930.00,0.00,0.00,0.00,41441341.00,41441341.00,0.00,0.00,0.00,1040725529.00,0.00,0.00
MICHIGAN,2022.00,772794194.00,8300000.00,77279419.00,687214775.00,115980984.00,99040380.89,43976056.48,55064324.41,13617393.99,13617393.99,0.00,0.00,142152.96,0.00,0.00,142152.96,3834765.81,1072550.14,2762215.67,0.00,56043055.08,252299414.00,19529091.20,232770322.80,0.00,38066101.44,0.00,23785333.50,130408.35,346715082.90,0.00,0.00,61647839.35,61647839.35,0.00,0.00,0.00,349826799.90,55184811.66,292098332.60,2543655.70,0.00,1245148728.00,0.00,124420243.60
MINNESOTA,2022.00,259569108.00,57369000.00,4790000.00,197410108.00,141294875.00,109048379.00,109048379.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,64553580.00,0.00,681406.00,63872174.00,1853086.00,59581677.00,53881677.00,5700000.00,0.00,89675692.00,4740171.00,18029812.00,0.00,0.00,1008214.00,0.00,0.00,0.00,0.00,0.00,4696498.00,47407260.00,47012666.00,0.00,394594.00,4085282.00,404679651.00,203118181.00,50888708.00
MISSISSIPPI,2022.00,86481245.00,0.00,0.00,86481245.00,97906265.00,4318331.00,4318331.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24120537.00,0.00,21234921.00,2885616.00,496894.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15102350.00,10637785.00,0.00,0.00,10637785.00,0.00,5471525.00,4510891.00,0.00,960634.00,0.00,60147422.00,0.00,145964396.00
MISSOURI,2022.00,216335469.00,0.00,21633546.90,194701922.10,0.00,21602871.42,21602871.42,0.00,0.00,0.00,0.00,0.00,121973416.10,121973416.10,0.00,0.00,71390342.24,343295.41,53286496.04,17760550.79,1110085.06,21825936.00,21825936.00,0.00,0.00,0.00,0.00,90639310.07,6967459.37,552181.00,4256183.73,15304432.75,0.00,0.00,0.00,0.00,0.00,13887617.93,13355725.12,0.00,531892.81,0.00,369509835.70,0.00,0.00
MONTANA,2022.00,37888854.00,5000000.00,1976440.00,30912414.00,41650619.00,8093972.00,8093972.00,0.00,1482989.00,0.00,0.00,1482989.00,1229432.00,1229432.00,0.00,0.00,2836448.00,349204.00,274184.00,2213060.00,266474.00,1776543.00,1776543.00,0.00,180618.00,0.00,0.00,268445.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9854930.00,3232269.00,6227142.00,395519.00,0.00,25989851.00,0.00,60772432.00
NEBRASKA,2022.00,56627234.00,11325446.80,5662723.40,39639063.80,121223049.90,19244071.06,19244071.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8350215.04,0.00,893458.75,7456756.29,0.00,6498998.00,6498998.00,0.00,0.00,31265222.79,5407917.00,47112.53,0.00,278868.83,1485539.78,1706117.43,4036519.60,3982966.46,0.00,53553.14,1389331.23,3330952.73,3047432.09,0.00,283520.64,0.00,83040866.01,6286094.14,119835696.80
NEVADA,2022.00,43762394.00,2500000.00,0.00,41262394.00,39484640.00,31116925.18,31116925.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1597750.00,52224.00,337530.00,1207996.00,1788056.39,14297346.24,14297346.24,0.00,7430.64,0.00,0.00,8464965.50,5602978.13,1865735.34,167129.42,0.00,32051153.64,7228525.63,0.00,24822628.01,1058246.06,20584893.27,6905788.91,5931042.82,7748061.54,0.00,118602609.80,0.00,45427855.31
NEW HAMPSHIRE,2022.00,38394141.00,0.00,936937.00,37457204.00,52563543.62,26562163.89,25158339.59,1403824.30,9275488.57,6645351.77,1517773.25,1112363.56,0.00,0.00,0.00,0.00,6340020.42,0.00,128952.08,6211068.34,263728.03,4581866.00,4581866.00,0.00,0.00,0.00,0.00,17666.92,1377127.92,0.00,138773.71,0.00,0.00,0.00,0.00,0.00,1553844.58,6852127.88,5911343.62,0.00,940784.26,3345551.89,60308359.81,0.00,61827487.80
